Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2017
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,59.3,57.1,61.5
Alabama,61.5,54.9,67.6
Alaska,Suppressed,Suppressed,Suppressed
Arizona,56.9,51.0,62.5
Arkansas,66.9,56.5,75.8
California,46.0,37.7,54.5
Colorado,47.8,40.1,55.6
Connecticut,53.7,45.5,61.7
Delaware,57.1,45.2,68.2
District of Columbia,60.7,49.6,70.8
Florida,53.5,45.0,61.8
Georgia,69.7,64.0,74.9
Hawaii,50.4,42.7,58.0
Idaho,62.1,51.9,71.4
Illinois,55.6,47.0,63.9
Indiana,62.5,56.7,67.9
Iowa,61.9,52.9,70.1
Kansas,63.3,58.8,67.6
Kentucky,65.6,58.8,71.8
Louisiana,62.9,54.5,70.6
Maine,48.3,39.8,57.0
Maryland,52.7,44.5,60.7
Massachusetts,48.7,36.3,61.2
Michigan,58.4,50.4,65.9
Minnesota,61.3,54.7,67.5
Mississippi,60.4,51.6,68.5
Missouri,63.8,54.2,72.4
Montana,63.0,52.4,72.5
Nebraska,59.8,52.9,66.3
Nevada,Suppressed,Suppressed,Suppressed
New Hampshire,75.1,68.0,81.0
New Jersey,44.8,35.6,54.5
New Mexico,54.8,46.0,63.4
New York,48.0,41.2,55.0
North Carolina,60.4,51.3,68.8
North Dakota,62.5,52.9,71.2
Ohio,64.2,57.6,70.3
Oklahoma,64.8,57.9,71.2
Oregon,65.4,55.3,74.4
Pennsylvania,59.3,50.0,68.0
Rhode Island,68.4,58.4,77.0
South Carolina,61.0,54.9,66.7
South Dakota,52.9,40.7,64.8
Tennessee,57.8,50.0,65.2
Texas,59.3,49.5,68.4
Utah,48.8,41.1,56.6
Vermont,62.4,50.8,72.8
Virginia,59.1,50.8,67.0
Washington,47.5,41.2,53.9
West Virginia,66.2,59.1,72.6
Wisconsin,57.7,45.6,68.9
Wyoming,58.6,47.3,69.0
Guam,50.2,36.3,64.2
Puerto Rico,56.4,47.6,64.7
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
