Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2018
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,58.3,56.7,60.5
Alabama,66.2,59.2,72.6
Alaska,46.0,32.4,60.2
Arizona,56.7,45.5,67.2
Arkansas,63.6,54.5,71.9
California,47.7,41.3,54.2
Colorado,55.1,46.7,63.2
Connecticut,53.1,45.4,60.8
Delaware,55.3,44.6,65.6
District of Columbia,66.1,55.6,75.3
Florida,48.0,39.5,56.6
Georgia,56.7,49.2,63.9
Hawaii,53.8,46.7,60.7
Idaho,46.2,34.9,58.0
Illinois,60.5,51.9,68.5
Indiana,61.7,53.3,69.5
Iowa,62.4,55.6,68.7
Kansas,63.2,57.2,68.8
Kentucky,66.5,58.1,74.0
Louisiana,57.1,48.4,65.4
Maine,60.0,51.4,67.9
Maryland,58.1,51.2,64.7
Massachusetts,49.2,40.0,58.4
Michigan,57.6,50.5,64.4
Minnesota,53.4,47.8,58.9
Mississippi,69.1,63.1,74.5
Missouri,60.5,51.9,68.6
Montana,52.1,41.6,62.5
Nebraska,55.4,49.0,61.6
Nevada,57.1,43.9,69.3
New Hampshire,60.8,49.8,70.8
New Jersey,61.3,48.0,73.1
New Mexico,58.4,51.7,64.8
New York,50.6,45.3,55.8
North Carolina,64.2,55.3,72.2
North Dakota,53.6,42.0,64.9
Ohio,64.4,57.4,70.8
Oklahoma,57.4,48.5,65.7
Oregon,60.1,52.8,67.1
Pennsylvania,57.0,49.2,64.4
Rhode Island,63.4,53.4,72.4
South Carolina,60.4,53.9,66.7
South Dakota,61.4,49.6,72.0
Tennessee,63.4,54.4,71.5
Texas,58.5,48.8,67.6
Utah,46.4,40.3,52.7
Vermont,56.8,46.7,66.4
Virginia,60.5,52.8,67.7
Washington,55.9,49.2,62.5
West Virginia,59.0,50.2,67.2
Wisconsin,61.4,49.4,72.2
Wyoming,64.7,53.4,74.6
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,55.9,47.5,63.9
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
