Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2015
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,58.9,56.6,60.2
Alabama,64.8,58.6,70.6
Alaska,63.5,49.8,75.3
Arizona,50.7,41.2,60.2
Arkansas,66.4,55.4,75.8
California,48.2,42.5,53.9
Colorado,46.3,38.4,54.3
Connecticut,56.8,48.3,64.8
Delaware,52.6,39.6,65.3
District of Columbia,Suppressed,Suppressed,Suppressed
Florida,55.3,46.0,64.3
Georgia,59.0,47.9,69.2
Hawaii,56.6,48.4,64.4
Idaho,61.8,51.3,71.3
Illinois,59.7,50.4,68.3
Indiana,49.8,40.9,58.7
Iowa,57.8,46.1,68.7
Kansas,64.2,60.0,68.3
Kentucky,69.4,62.7,75.5
Louisiana,64.4,54.6,73.2
Maine,67.9,59.4,75.3
Maryland,60.4,50.4,69.5
Massachusetts,53.0,43.8,61.9
Michigan,60.2,53.4,66.7
Minnesota,51.1,44.5,57.7
Mississippi,57.0,49.6,64.1
Missouri,57.7,48.4,66.4
Montana,59.8,47.6,71.0
Nebraska,62.2,54.4,69.4
Nevada,51.9,38.2,65.2
New Hampshire,56.6,43.0,69.2
New Jersey,48.5,39.0,58.1
New Mexico,55.5,46.4,64.2
New York,58.1,51.2,64.7
North Carolina,62.4,54.4,69.7
North Dakota,60.2,47.8,71.5
Ohio,60.1,52.0,67.7
Oklahoma,72.3,66.7,77.4
Oregon,60.3,50.6,69.3
Pennsylvania,62.1,51.4,71.7
Rhode Island,59.2,46.1,71.1
South Carolina,59.1,52.6,65.4
South Dakota,67.0,58.2,74.7
Tennessee,60.8,52.2,68.7
Texas,55.6,47.8,63.1
Utah,56.3,49.1,63.3
Vermont,64.6,55.1,73.1
Virginia,55.4,48.2,62.4
Washington,50.4,43.4,57.3
West Virginia,54.8,48.2,61.2
Wisconsin,56.9,44.4,68.6
Wyoming,65.8,54.3,75.8
Guam,58.9,45.7,70.9
Puerto Rico,49.7,42.1,57.3
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
