Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2014
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,57.1,54.7,59.2
Alabama,59.1,52.5,65.3
Alaska,61.6,49.2,72.6
Arizona,62.9,55.5,69.7
Arkansas,63.2,52.5,72.8
California,45.1,38.3,52.2
Colorado,50.0,43.0,57.1
Connecticut,50.9,40.7,61.1
Delaware,59.2,47.1,70.3
District of Columbia,Suppressed,Suppressed,Suppressed
Florida,61.4,54.3,68.1
Georgia,50.3,40.4,60.2
Hawaii,49.0,39.7,58.4
Idaho,56.8,43.8,68.9
Illinois,60.7,50.4,70.1
Indiana,62.6,55.6,69.2
Iowa,63.7,55.4,71.3
Kansas,54.4,48.5,60.1
Kentucky,60.1,52.4,67.4
Louisiana,61.9,54.1,69.1
Maine,57.1,47.5,66.2
Maryland,65.8,58.3,72.5
Massachusetts,49.2,42.1,56.4
Michigan,60.5,51.7,68.6
Minnesota,54.1,48.2,59.8
Mississippi,57.1,46.8,66.8
Missouri,57.8,47.3,67.6
Montana,52.3,41.8,62.6
Nebraska,54.3,47.4,61.1
Nevada,52.3,38.8,65.5
New Hampshire,59.1,45.8,71.3
New Jersey,52.3,44.5,59.9
New Mexico,49.2,41.9,56.6
New York,56.4,47.2,65.2
North Carolina,61.7,54.4,68.5
North Dakota,55.3,44.3,65.7
Ohio,61.5,54.3,68.4
Oklahoma,62.4,55.3,69.0
Oregon,49.7,39.4,59.9
Pennsylvania,56.7,49.1,63.9
Rhode Island,60.2,50.8,68.9
South Carolina,61.9,55.9,67.6
South Dakota,58.0,46.5,68.8
Tennessee,53.1,43.6,62.4
Texas,56.2,49.5,62.6
Utah,54.7,49.2,60.2
Vermont,57.5,49.0,65.6
Virginia,56.6,48.4,64.4
Washington,57.2,49.0,65.0
West Virginia,59.5,52.1,66.6
Wisconsin,64.9,54.9,73.9
Wyoming,45.8,36.1,55.8
Guam,44.4,34.4,54.8
Puerto Rico,51.3,44.3,58.3
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
