Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2012
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,57.2,55.8,58.4
Alabama,57.2,49.6,64.5
Alaska,55.9,43.9,67.2
Arizona,52.2,43.0,61.3
Arkansas,63.3,54.0,71.8
California,46.2,40.6,51.9
Colorado,48.9,41.9,56.0
Connecticut,59.2,50.2,67.6
Delaware,52.4,40.8,63.8
District of Columbia,58.8,45.9,70.5
Florida,57.4,47.8,66.4
Georgia,53.9,44.2,63.3
Hawaii,66.5,58.2,73.9
Idaho,66.4,55.2,76.0
Illinois,45.4,35.1,56.0
Indiana,63.3,56.9,69.4
Iowa,60.4,52.8,67.6
Kansas,58.2,51.7,64.5
Kentucky,64.2,57.8,70.2
Louisiana,56.2,48.7,63.4
Maine,56.2,48.5,63.6
Maryland,55.8,47.7,63.6
Massachusetts,47.4,41.1,53.8
Michigan,57.3,49.2,65.1
Minnesota,51.9,42.9,60.8
Mississippi,60.1,53.3,66.5
Missouri,57.5,47.6,66.8
Montana,55.8,45.2,65.9
Nebraska,60.4,54.4,66.2
Nevada,54.2,43.1,64.8
New Hampshire,66.2,56.4,74.7
New Jersey,51.0,44.7,57.2
New Mexico,56.1,49.3,62.7
New York,54.5,45.0,63.7
North Carolina,58.2,52.6,63.5
North Dakota,54.4,40.2,67.8
Ohio,59.1,53.1,64.8
Oklahoma,59.4,52.8,65.7
Oregon,63.0,52.6,72.3
Pennsylvania,53.8,46.6,60.8
Rhode Island,61.1,52.3,69.1
South Carolina,58.5,52.2,64.5
South Dakota,60.2,50.5,69.1
Tennessee,65.1,58.8,71.0
Texas,53.6,47.0,60.1
Utah,57.5,51.0,63.8
Vermont,53.8,42.5,64.7
Virginia,55.7,46.1,64.9
Washington,54.1,47.4,60.7
West Virginia,57.2,49.0,65.0
Wisconsin,57.2,43.8,69.7
Wyoming,55.8,44.2,66.8
Guam,58.4,49.0,67.3
Puerto Rico,50.5,43.5,57.5
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
