Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,58.4,54.8,61.6
Alabama,62.0,54.1,69.2
Alaska,Suppressed,Suppressed,Suppressed
Arizona,59.0,50.2,67.2
Arkansas,53.6,40.9,65.8
California,53.1,46.8,59.3
Colorado,49.7,42.2,57.3
Connecticut,65.1,58.4,71.2
Delaware,72.3,63.0,80.0
District of Columbia,61.7,51.1,71.4
Florida,53.3,47.6,59.0
Georgia,61.6,52.4,70.0
Hawaii,58.5,51.7,65.1
Idaho,45.9,35.3,56.9
Illinois,61.9,50.4,72.2
Indiana,58.5,51.0,65.5
Iowa,68.0,59.2,75.7
Kansas,62.7,56.1,68.9
Kentucky,55.4,48.1,62.4
Louisiana,74.4,68.7,79.4
Maine,54.8,44.0,65.2
Maryland,61.6,55.2,67.6
Massachusetts,49.5,40.1,59.0
Michigan,56.1,49.6,62.3
Minnesota,53.7,47.6,59.7
Mississippi,67.4,59.8,74.1
Missouri,62.6,52.9,71.4
Montana,60.4,46.9,72.4
Nebraska,56.3,47.9,64.2
Nevada,54.3,43.5,64.6
New Hampshire,56.8,46.0,67.0
New Jersey,50.9,41.4,60.4
New Mexico,57.2,47.8,66.0
New York,50.7,44.3,57.1
North Carolina,59.5,51.6,66.8
North Dakota,52.5,43.2,61.6
Ohio,58.4,50.2,66.1
Oklahoma,64.8,57.8,71.3
Oregon,61.7,52.6,70.1
Pennsylvania,53.0,45.0,60.9
Rhode Island,67.1,57.9,75.2
South Carolina,60.3,54.4,65.9
South Dakota,53.5,40.8,65.8
Tennessee,62.5,53.9,70.3
Texas,58.5,49.9,66.6
Utah,52.3,44.6,60.0
Vermont,62.8,53.7,71.0
Virginia,56.5,49.0,63.8
Washington,53.1,46.7,59.4
West Virginia,66.6,59.7,72.8
Wisconsin,63.6,52.8,73.1
Wyoming,46.3,32.6,60.6
Guam,38.5,26.9,51.6
Puerto Rico,53.8,45.7,61.6
Virgin Islands of the U.S.,Suppressed,Suppressed,Suppressed
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
