Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2019
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,58.3,56.3,60.5
Alabama,64.6,56.9,71.6
Alaska,Suppressed,Suppressed,Suppressed
Arizona,59.8,50.2,68.7
Arkansas,64.4,54.7,73.1
California,54.1,48.1,60.0
Colorado,55.3,47.6,62.8
Connecticut,48.6,39.6,57.6
Delaware,61.0,50.3,70.7
District of Columbia,52.0,39.2,64.4
Florida,54.8,47.0,62.3
Georgia,60.2,52.2,67.8
Hawaii,55.9,48.5,63.1
Idaho,57.1,47.5,66.1
Illinois,59.1,50.9,66.8
Indiana,58.3,51.1,65.1
Iowa,57.8,51.0,64.3
Kansas,61.2,54.7,67.4
Kentucky,60.5,52.1,68.3
Louisiana,65.1,57.1,72.4
Maine,55.1,46.2,63.8
Maryland,53.5,45.9,61.0
Massachusetts,56.3,47.3,65.0
Michigan,64.6,57.7,71.0
Minnesota,57.4,52.0,62.6
Mississippi,65.5,57.8,72.5
Missouri,57.3,47.9,66.1
Montana,63.3,50.9,74.1
Nebraska,57.6,50.9,64.0
Nevada,45.8,33.0,59.2
New Hampshire,65.9,56.4,74.2
New Jersey,No Data,No Data,No Data
New Mexico,52.6,44.2,60.8
New York,53.1,45.8,60.3
North Carolina,59.1,51.4,66.4
North Dakota,56.3,43.8,68.1
Ohio,55.9,47.6,63.9
Oklahoma,66.1,58.4,73.1
Oregon,60.8,52.4,68.7
Pennsylvania,65.3,57.2,72.7
Rhode Island,55.7,42.1,68.5
South Carolina,64.2,56.8,70.9
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,65.3,55.8,73.7
Texas,58.5,50.5,66.0
Utah,52.9,46.7,59.1
Vermont,60.1,46.4,72.3
Virginia,62.7,55.7,69.3
Washington,56.9,50.3,63.3
West Virginia,61.5,53.1,69.3
Wisconsin,62.2,47.8,74.7
Wyoming,Suppressed,Suppressed,Suppressed
Guam,54.1,44.7,63.3
Puerto Rico,51.2,43.9,58.5
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
