Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,14.2,13.6,14.9
Alabama,17.1,15.2,19.1
Alaska,Suppressed,Suppressed,Suppressed
Arizona,14.6,11.0,19.2
Arkansas,17.1,13.1,22.1
California,10.4,8.2,13.2
Colorado,6.7,4.8,9.3
Connecticut,14.9,12.3,18.0
Delaware,12.0,9.0,15.9
District of Columbia,13.2,11.8,14.7
Florida,15.2,13.1,17.6
Georgia,13.6,11.9,15.6
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,14.6,11.5,18.4
Indiana,16.6,13.8,19.9
Iowa,Suppressed,Suppressed,Suppressed
Kansas,15.4,12.5,18.9
Kentucky,15.1,11.6,19.5
Louisiana,14.6,12.5,17.0
Maine,Suppressed,Suppressed,Suppressed
Maryland,13.6,12.4,15.0
Massachusetts,15.5,11.2,21.2
Michigan,12.9,11.0,15.1
Minnesota,13.5,10.0,17.9
Mississippi,17.2,15.3,19.3
Missouri,13.9,11.1,17.3
Montana,Suppressed,Suppressed,Suppressed
Nebraska,12.9,8.5,19.0
Nevada,17.7,12.7,24.2
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,15.1,12.4,18.3
New Mexico,Suppressed,Suppressed,Suppressed
New York,13.3,11.4,15.5
North Carolina,14.2,12.2,16.4
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,12.5,10.1,15.4
Oklahoma,14.7,11.6,18.4
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,14.3,11.5,17.6
Rhode Island,12.0,8.1,17.5
South Carolina,16.3,14.9,17.9
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,13.2,10.7,16.3
Texas,14.0,10.8,17.8
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,13.9,12.1,15.8
Washington,14.6,10.9,19.3
West Virginia,14.1,10.1,19.2
Wisconsin,15.7,11.1,21.6
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,13.3,10.5,16.6
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
