Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2014
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,15.2,13.5,16.1
Alabama,16.1,14.3,18.0
Alaska,Suppressed,Suppressed,Suppressed
Arizona,11.7,9.1,14.9
Arkansas,19.0,15.4,23.1
California,16.4,12.9,20.6
Colorado,10.4,7.6,14.1
Connecticut,16.8,13.7,20.5
Delaware,15.9,12.6,19.9
District of Columbia,13.0,11.2,15.0
Florida,15.2,12.7,18.0
Georgia,15.9,14.0,18.0
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,13.2,10.5,16.6
Indiana,12.6,10.2,15.6
Iowa,20.2,14.0,28.2
Kansas,15.9,13.1,19.2
Kentucky,16.3,11.9,21.8
Louisiana,15.7,14.1,17.5
Maine,Suppressed,Suppressed,Suppressed
Maryland,12.7,11.1,14.5
Massachusetts,12.3,9.6,15.6
Michigan,12.6,10.7,14.7
Minnesota,17.3,13.3,22.2
Mississippi,17.0,15.0,19.2
Missouri,18.8,14.9,23.3
Montana,Suppressed,Suppressed,Suppressed
Nebraska,16.2,12.1,21.4
Nevada,13.5,9.1,19.5
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,12.0,9.9,14.5
New Mexico,15.1,10.4,21.4
New York,14.2,11.9,16.9
North Carolina,14.3,12.5,16.2
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,15.5,13.0,18.4
Oklahoma,14.1,11.3,17.5
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,13.5,11.2,16.0
Rhode Island,12.5,8.6,17.9
South Carolina,15.5,14.1,17.1
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,16.4,13.0,20.4
Texas,12.9,10.3,16.1
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,14.7,12.9,16.8
Washington,11.4,7.8,16.4
West Virginia,17.6,12.5,24.3
Wisconsin,19.7,13.7,27.4
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
