Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2013
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,14.1,13.2,15.1
Alabama,18.7,16.5,21.2
Alaska,Suppressed,Suppressed,Suppressed
Arizona,13.9,9.4,20.2
Arkansas,15.7,12.7,19.3
California,15.6,12.4,19.4
Colorado,9.9,7.1,13.7
Connecticut,14.0,11.0,17.8
Delaware,16.8,13.9,20.2
District of Columbia,12.2,10.6,14.0
Florida,13.8,11.7,16.1
Georgia,14.6,12.8,16.7
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,12.9,9.7,17.0
Indiana,14.4,11.7,17.6
Iowa,Suppressed,Suppressed,Suppressed
Kansas,13.9,11.4,16.8
Kentucky,10.7,8.1,14.0
Louisiana,14.9,12.8,17.3
Maine,Suppressed,Suppressed,Suppressed
Maryland,11.7,10.3,13.3
Massachusetts,13.2,10.2,16.9
Michigan,11.9,9.8,14.4
Minnesota,11.5,7.3,17.8
Mississippi,15.1,13.4,16.9
Missouri,16.2,12.9,20.1
Montana,Suppressed,Suppressed,Suppressed
Nebraska,14.2,10.1,19.5
Nevada,13.4,8.8,19.9
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,11.5,9.7,13.7
New Mexico,12.9,8.2,19.9
New York,15.6,13.0,18.7
North Carolina,15.1,13.3,17.2
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,12.2,10.1,14.6
Oklahoma,14.4,11.4,18.0
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,12.4,10.2,14.9
Rhode Island,16.8,12.1,22.7
South Carolina,17.4,15.8,19.1
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,15.2,12.5,18.5
Texas,13.9,11.1,17.3
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,14.7,12.4,17.4
Washington,12.1,8.3,17.2
West Virginia,16.2,10.5,24.2
Wisconsin,18.6,12.7,26.4
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
