Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2017
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,13.4,12.7,15.4
Alabama,16.2,14.5,18.0
Alaska,Suppressed,Suppressed,Suppressed
Arizona,12.6,9.9,15.9
Arkansas,13.4,10.3,17.3
California,11.8,8.4,16.3
Colorado,10.6,7.3,15.3
Connecticut,15.6,12.9,18.8
Delaware,11.1,8.7,14.1
District of Columbia,12.1,10.7,13.7
Florida,11.3,9.3,13.8
Georgia,12.2,10.7,14.0
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,12.9,10.4,15.9
Indiana,15.6,13.4,18.2
Iowa,14.4,9.4,21.3
Kansas,15.4,13.1,18.0
Kentucky,12.2,8.6,17.0
Louisiana,17.1,14.8,19.7
Maine,Suppressed,Suppressed,Suppressed
Maryland,13.3,11.8,15.0
Massachusetts,9.2,5.7,14.6
Michigan,14.0,11.9,16.3
Minnesota,12.1,8.1,17.5
Mississippi,16.0,14.0,18.3
Missouri,13.1,10.6,16.1
Montana,Suppressed,Suppressed,Suppressed
Nebraska,16.9,12.7,22.2
Nevada,14.9,10.7,20.3
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,13.4,11.1,16.1
New Mexico,Suppressed,Suppressed,Suppressed
New York,13.5,11.4,15.8
North Carolina,16.6,13.8,19.9
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,13.0,11.0,15.3
Oklahoma,13.2,9.9,17.3
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,13.3,10.5,16.7
Rhode Island,10.6,7.3,15.1
South Carolina,17.4,15.8,19.2
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,15.8,12.9,19.1
Texas,15.6,11.5,20.9
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,16.3,14.2,18.5
Washington,10.7,7.2,15.6
West Virginia,12.7,8.3,18.9
Wisconsin,15.9,10.3,23.8
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
