Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2015
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,14.0,13.3,14.7
Alabama,17.2,15.4,19.2
Alaska,Suppressed,Suppressed,Suppressed
Arizona,12.8,8.7,18.5
Arkansas,20.0,16.5,24.0
California,13.9,11.2,17.2
Colorado,10.9,7.9,15.0
Connecticut,13.8,11.1,17.0
Delaware,14.2,11.5,17.4
District of Columbia,13.3,11.4,15.6
Florida,14.0,11.6,16.8
Georgia,14.0,12.0,16.1
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,13.2,10.7,16.1
Indiana,14.1,10.3,19.0
Iowa,11.6,7.3,18.2
Kansas,14.7,12.6,17.1
Kentucky,17.1,12.9,22.3
Louisiana,16.9,14.6,19.4
Maine,Suppressed,Suppressed,Suppressed
Maryland,12.7,10.9,14.7
Massachusetts,14.0,10.8,18.0
Michigan,12.9,10.8,15.3
Minnesota,13.3,9.9,17.6
Mississippi,16.7,14.8,18.7
Missouri,15.5,12.5,19.0
Montana,Suppressed,Suppressed,Suppressed
Nebraska,13.0,9.5,17.5
Nevada,16.2,11.1,23.1
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,12.3,10.0,15.0
New Mexico,Suppressed,Suppressed,Suppressed
New York,11.6,9.9,13.6
North Carolina,14.7,12.8,16.8
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,13.1,10.7,16.0
Oklahoma,14.0,10.9,17.9
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,13.7,10.6,17.4
Rhode Island,18.9,14.3,24.6
South Carolina,15.1,13.6,16.7
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,17.9,14.3,22.1
Texas,16.9,13.7,20.7
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,13.9,12.1,16.0
Washington,11.0,7.7,15.5
West Virginia,17.2,12.1,24.0
Wisconsin,13.0,8.7,19.0
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
