Diagnosed Diabetes; Non-Hispanic Black (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2012
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,14.2,13.1,14.6
Alabama,16.7,14.8,18.7
Alaska,Suppressed,Suppressed,Suppressed
Arizona,17.2,10.4,26.9
Arkansas,14.3,11.6,17.5
California,14.6,11.5,18.3
Colorado,13.1,9.2,18.3
Connecticut,13.1,10.0,17.1
Delaware,13.1,10.5,16.2
District of Columbia,13.2,11.4,15.3
Florida,14.5,11.6,18.0
Georgia,12.7,10.9,14.7
Hawaii,Suppressed,Suppressed,Suppressed
Idaho,Suppressed,Suppressed,Suppressed
Illinois,10.1,7.7,13.3
Indiana,14.9,12.4,17.8
Iowa,15.8,10.2,23.7
Kansas,16.0,12.5,20.1
Kentucky,13.4,10.5,17.0
Louisiana,15.4,13.7,17.3
Maine,Suppressed,Suppressed,Suppressed
Maryland,13.7,12.1,15.4
Massachusetts,12.2,10.1,14.6
Michigan,14.1,11.8,16.8
Minnesota,6.8,4.8,9.7
Mississippi,15.6,14.0,17.3
Missouri,14.5,11.6,18.1
Montana,Suppressed,Suppressed,Suppressed
Nebraska,12.0,8.7,16.3
Nevada,8.3,5.2,13.1
New Hampshire,Suppressed,Suppressed,Suppressed
New Jersey,13.9,12.1,16.0
New Mexico,Suppressed,Suppressed,Suppressed
New York,12.6,9.9,15.9
North Carolina,14.5,12.9,16.3
North Dakota,Suppressed,Suppressed,Suppressed
Ohio,16.1,13.4,19.2
Oklahoma,12.7,9.7,16.4
Oregon,Suppressed,Suppressed,Suppressed
Pennsylvania,14.3,12.4,16.5
Rhode Island,12.3,7.5,19.4
South Carolina,15.5,14.0,17.1
South Dakota,Suppressed,Suppressed,Suppressed
Tennessee,12.8,10.4,15.7
Texas,15.4,12.3,19.1
Utah,Suppressed,Suppressed,Suppressed
Vermont,Suppressed,Suppressed,Suppressed
Virginia,14.3,12.3,16.6
Washington,13.8,9.1,20.4
West Virginia,23.1,15.3,33.3
Wisconsin,15.9,11.3,21.7
Wyoming,Suppressed,Suppressed,Suppressed
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
