High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2019
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,54.3,53.0,56.8
Alabama,57.5,55.7,59.3
Alaska,No Data,No Data,No Data
Arizona,No Data,No Data,No Data
Arkansas,No Data,No Data,No Data
California,55.1,52.8,57.3
Colorado,No Data,No Data,No Data
Connecticut,No Data,No Data,No Data
Delaware,57.1,54.5,59.7
District of Columbia,57.4,54.6,60.1
Florida,55.6,53.7,57.5
Georgia,57.3,55.2,59.4
Hawaii,50.7,49.1,52.4
Idaho,49.7,47.3,52.0
Illinois,55.9,54.1,57.7
Indiana,No Data,No Data,No Data
Iowa,No Data,No Data,No Data
Kansas,No Data,No Data,No Data
Kentucky,57.7,55.7,59.7
Louisiana,No Data,No Data,No Data
Maine,51.4,49.5,53.2
Maryland,No Data,No Data,No Data
Massachusetts,53.8,51.5,56.0
Michigan,No Data,No Data,No Data
Minnesota,No Data,No Data,No Data
Mississippi,56.8,54.6,58.9
Missouri,No Data,No Data,No Data
Montana,No Data,No Data,No Data
Nebraska,No Data,No Data,No Data
Nevada,52.2,49.3,55.1
New Hampshire,No Data,No Data,No Data
New Jersey,No Data,No Data,No Data
New Mexico,56.3,54.3,58.3
New York,54.3,52.9,55.6
North Carolina,60.6,58.4,62.7
North Dakota,50.8,48.7,52.9
Ohio,54.9,53.0,56.8
Oklahoma,No Data,No Data,No Data
Oregon,53.8,52.1,55.6
Pennsylvania,No Data,No Data,No Data
Rhode Island,No Data,No Data,No Data
South Carolina,No Data,No Data,No Data
South Dakota,54.0,51.1,56.8
Tennessee,53.1,50.9,55.2
Texas,53.0,50.9,55.1
Utah,No Data,No Data,No Data
Vermont,47.2,45.1,49.3
Virginia,57.4,55.7,59.0
Washington,51.2,49.9,52.4
West Virginia,59.3,57.2,61.5
Wisconsin,52.8,50.6,54.9
Wyoming,No Data,No Data,No Data
Guam,45.7,42.3,49.2
Puerto Rico,No Data,No Data,No Data
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
