High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2015
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,Suppressed,Suppressed,Suppressed
Alabama,54.9,53.1,56.7
Alaska,52.7,49.8,55.5
Arizona,No Data,No Data,No Data
Arkansas,No Data,No Data,No Data
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,No Data,No Data,No Data
Delaware,No Data,No Data,No Data
District of Columbia,59.4,56.0,62.8
Florida,58.6,56.1,61.0
Georgia,54.9,52.6,57.3
Hawaii,No Data,No Data,No Data
Idaho,No Data,No Data,No Data
Illinois,No Data,No Data,No Data
Indiana,No Data,No Data,No Data
Iowa,No Data,No Data,No Data
Kansas,No Data,No Data,No Data
Kentucky,54.9,53.0,56.9
Louisiana,54.1,51.9,56.2
Maine,55.7,53.5,58.0
Maryland,No Data,No Data,No Data
Massachusetts,No Data,No Data,No Data
Michigan,No Data,No Data,No Data
Minnesota,No Data,No Data,No Data
Mississippi,No Data,No Data,No Data
Missouri,No Data,No Data,No Data
Montana,No Data,No Data,No Data
Nebraska,No Data,No Data,No Data
Nevada,No Data,No Data,No Data
New Hampshire,No Data,No Data,No Data
New Jersey,No Data,No Data,No Data
New Mexico,54.0,51.9,56.2
New York,57.9,55.9,59.9
North Carolina,59.7,58.0,61.4
North Dakota,No Data,No Data,No Data
Ohio,54.7,52.9,56.5
Oklahoma,53.0,50.1,55.9
Oregon,No Data,No Data,No Data
Pennsylvania,No Data,No Data,No Data
Rhode Island,No Data,No Data,No Data
South Carolina,57.2,55.7,58.7
South Dakota,55.2,52.9,57.4
Tennessee,56.7,54.3,59.1
Texas,53.7,51.3,56.1
Utah,No Data,No Data,No Data
Vermont,No Data,No Data,No Data
Virginia,57.8,56.2,59.5
Washington,No Data,No Data,No Data
West Virginia,62.7,61.0,64.4
Wisconsin,No Data,No Data,No Data
Wyoming,No Data,No Data,No Data
Guam,54.1,50.4,57.8
Puerto Rico,No Data,No Data,No Data
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
