High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,55.5,54.8,56.9
Alabama,54.5,52.7,56.4
Alaska,54.3,51.1,57.6
Arizona,No Data,No Data,No Data
Arkansas,No Data,No Data,No Data
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,55.9,54.3,57.5
Delaware,60.0,57.5,62.5
District of Columbia,56.9,54.7,59.1
Florida,57.4,56.1,58.6
Georgia,No Data,No Data,No Data
Hawaii,50.2,48.5,51.9
Idaho,48.6,46.4,50.9
Illinois,54.8,52.8,56.9
Indiana,No Data,No Data,No Data
Iowa,56.2,54.5,57.9
Kansas,52.0,50.2,53.8
Kentucky,55.2,53.5,56.9
Louisiana,54.0,51.5,56.5
Maine,55.0,52.6,57.3
Maryland,No Data,No Data,No Data
Massachusetts,55.2,52.7,57.6
Michigan,No Data,No Data,No Data
Minnesota,No Data,No Data,No Data
Mississippi,55.9,53.8,58.0
Missouri,No Data,No Data,No Data
Montana,No Data,No Data,No Data
Nebraska,53.9,52.5,55.3
Nevada,55.4,53.0,57.9
New Hampshire,No Data,No Data,No Data
New Jersey,No Data,No Data,No Data
New Mexico,56.2,54.0,58.4
New York,57.5,56.2,58.7
North Carolina,No Data,No Data,No Data
North Dakota,No Data,No Data,No Data
Ohio,57.6,55.7,59.4
Oklahoma,53.6,51.8,55.5
Oregon,51.9,50.1,53.7
Pennsylvania,No Data,No Data,No Data
Rhode Island,No Data,No Data,No Data
South Carolina,57.6,56.0,59.2
South Dakota,51.5,49.0,53.9
Tennessee,No Data,No Data,No Data
Texas,56.1,53.0,59.1
Utah,No Data,No Data,No Data
Vermont,No Data,No Data,No Data
Virginia,57.2,55.6,58.7
Washington,No Data,No Data,No Data
West Virginia,61.4,59.7,63.0
Wisconsin,55.2,53.1,57.3
Wyoming,No Data,No Data,No Data
Guam,55.5,51.7,59.3
Puerto Rico,72.0,70.1,73.8
Virgin Islands of the U.S.,58.1,53.1,62.9
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
