High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2018
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,53.8,52.2,56.3
Alabama,53.6,51.7,55.6
Alaska,52.2,49.2,55.1
Arizona,55.3,53.1,57.5
Arkansas,No Data,No Data,No Data
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,55.3,53.0,57.6
Delaware,No Data,No Data,No Data
District of Columbia,57.5,55.4,59.7
Florida,56.9,54.8,58.9
Georgia,55.2,53.8,56.7
Hawaii,49.8,48.2,51.5
Idaho,50.0,47.4,52.6
Illinois,No Data,No Data,No Data
Indiana,54.1,52.3,55.8
Iowa,53.9,52.1,55.8
Kansas,52.2,50.4,54.1
Kentucky,56.6,54.5,58.6
Louisiana,No Data,No Data,No Data
Maine,53.4,51.5,55.3
Maryland,59.8,58.4,61.1
Massachusetts,50.4,47.9,53.0
Michigan,No Data,No Data,No Data
Minnesota,No Data,No Data,No Data
Mississippi,53.1,51.1,55.0
Missouri,55.3,53.1,57.5
Montana,No Data,No Data,No Data
Nebraska,No Data,No Data,No Data
Nevada,No Data,No Data,No Data
New Hampshire,No Data,No Data,No Data
New Jersey,60.7,57.1,64.3
New Mexico,57.4,55.4,59.4
New York,50.3,49.2,51.4
North Carolina,58.8,56.6,61.0
North Dakota,50.6,48.6,52.6
Ohio,56.3,54.3,58.2
Oklahoma,52.5,49.6,55.3
Oregon,52.9,51.1,54.7
Pennsylvania,No Data,No Data,No Data
Rhode Island,No Data,No Data,No Data
South Carolina,57.7,56.1,59.4
South Dakota,49.5,47.0,52.0
Tennessee,56.8,54.5,59.1
Texas,52.0,49.5,54.5
Utah,52.7,51.0,54.4
Vermont,No Data,No Data,No Data
Virginia,57.4,55.8,59.0
Washington,51.3,50.0,52.6
West Virginia,61.4,59.2,63.5
Wisconsin,51.2,49.1,53.3
Wyoming,49.9,47.7,52.0
Guam,45.9,42.3,49.6
Puerto Rico,76.8,75.0,78.5
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
