High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2013
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,54.5,53.0,55.3
Alabama,54.8,52.7,56.9
Alaska,51.3,49.0,53.5
Arizona,56.3,53.0,59.5
Arkansas,51.7,49.5,53.9
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,54.5,52.6,56.4
Delaware,57.5,55.4,59.6
District of Columbia,55.7,53.2,58.1
Florida,56.0,54.6,57.4
Georgia,55.5,53.7,57.3
Hawaii,52.8,51.1,54.6
Idaho,49.2,47.1,51.3
Illinois,55.0,52.9,57.2
Indiana,54.4,53.0,55.8
Iowa,51.5,49.3,53.8
Kansas,52.0,50.9,53.2
Kentucky,55.8,54.2,57.4
Louisiana,53.5,51.1,56.0
Maine,54.3,52.2,56.4
Maryland,No Data,No Data,No Data
Massachusetts,56.0,54.4,57.6
Michigan,No Data,No Data,No Data
Minnesota,47.2,45.5,48.9
Mississippi,56.8,54.9,58.7
Missouri,55.2,53.1,57.2
Montana,49.9,47.8,51.9
Nebraska,53.0,51.1,54.9
Nevada,54.4,51.6,57.3
New Hampshire,53.2,51.3,55.1
New Jersey,No Data,No Data,No Data
New Mexico,56.0,54.4,57.7
New York,No Data,No Data,No Data
North Carolina,59.1,57.5,60.7
North Dakota,51.2,49.4,52.9
Ohio,54.7,52.9,56.5
Oklahoma,54.3,52.1,56.4
Oregon,51.2,48.5,53.9
Pennsylvania,56.0,54.6,57.3
Rhode Island,No Data,No Data,No Data
South Carolina,56.2,54.7,57.7
South Dakota,55.0,52.8,57.1
Tennessee,57.9,55.7,60.0
Texas,52.8,50.5,55.0
Utah,49.3,47.1,51.5
Vermont,No Data,No Data,No Data
Virginia,55.3,53.7,57.0
Washington,50.4,48.9,51.8
West Virginia,59.6,57.8,61.3
Wisconsin,50.1,48.1,52.2
Wyoming,No Data,No Data,No Data
Guam,47.6,44.4,50.9
Puerto Rico,71.4,69.7,73.0
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
