Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2011
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,7.8,7.3,8.2
Alabama,9.9,8.9,10.9
Alaska,7.1,5.7,8.8
Arizona,6.7,5.7,7.8
Arkansas,10.0,8.8,11.4
California,6.2,5.7,6.8
Colorado,5.2,4.7,5.7
Connecticut,7.0,6.3,7.8
Delaware,7.7,6.8,8.8
District of Columbia,3.1,2.4,3.9
Florida,7.8,7.1,8.6
Georgia,9.3,8.5,10.1
Hawaii,4.0,3.3,4.9
Idaho,8.3,7.4,9.3
Illinois,7.8,7.0,8.8
Indiana,8.9,8.2,9.7
Iowa,7.1,6.5,7.7
Kansas,8.2,7.8,8.6
Kentucky,9.6,8.8,10.4
Louisiana,9.3,8.5,10.2
Maine,8.2,7.6,8.7
Maryland,7.1,6.4,7.8
Massachusetts,6.6,6.1,7.2
Michigan,8.3,7.6,9.1
Minnesota,6.5,6.0,7.1
Mississippi,9.5,8.7,10.3
Missouri,9.0,8.1,10.0
Montana,6.4,5.8,7.1
Nebraska,7.3,6.9,7.7
Nevada,8.1,6.6,9.8
New Hampshire,7.5,6.8,8.2
New Jersey,6.6,6.0,7.1
New Mexico,5.9,5.2,6.6
New York,8.0,7.1,8.9
North Carolina,9.0,8.2,9.9
North Dakota,7.1,6.4,7.8
Ohio,8.2,7.6,8.9
Oklahoma,9.0,8.3,9.9
Oregon,8.1,7.4,8.9
Pennsylvania,7.8,7.1,8.5
Rhode Island,7.3,6.5,8.2
South Carolina,9.1,8.2,10.1
South Dakota,8.0,7.0,9.1
Tennessee,9.5,8.3,10.8
Texas,7.6,6.9,8.5
Utah,7.1,6.6,7.7
Vermont,6.5,5.9,7.2
Virginia,8.6,7.7,9.7
Washington,7.9,7.3,8.6
West Virginia,10.7,9.8,11.6
Wisconsin,7.0,6.2,7.9
Wyoming,7.3,6.4,8.2
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
