Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2015
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,7.7,7.1,8.4
Alabama,10.4,9.5,11.4
Alaska,6.1,4.9,7.6
Arizona,7.4,6.5,8.3
Arkansas,10.5,9.3,11.9
California,6.4,5.8,7.1
Colorado,4.9,4.4,5.4
Connecticut,6.5,5.9,7.2
Delaware,8.4,7.4,9.7
District of Columbia,2.5,1.6,3.8
Florida,8.6,7.8,9.5
Georgia,8.4,7.6,9.4
Hawaii,3.6,2.9,4.5
Idaho,7.0,6.2,7.8
Illinois,7.7,6.9,8.5
Indiana,9.9,8.9,11.0
Iowa,7.2,6.6,7.9
Kansas,8.1,7.7,8.5
Kentucky,11.7,10.7,12.8
Louisiana,9.4,8.3,10.5
Maine,8.1,7.4,8.9
Maryland,8.1,7.2,9.1
Massachusetts,7.1,6.4,7.9
Michigan,8.9,8.1,9.7
Minnesota,6.3,5.9,6.7
Mississippi,12.4,11.0,13.8
Missouri,9.3,8.5,10.3
Montana,6.0,5.3,6.9
Nebraska,7.3,6.8,7.9
Nevada,8.5,6.7,10.7
New Hampshire,6.6,6.0,7.2
New Jersey,6.1,5.5,6.8
New Mexico,6.6,5.7,7.8
New York,6.6,6.1,7.2
North Carolina,8.3,7.6,9.2
North Dakota,7.2,6.5,8.0
Ohio,9.0,8.3,9.7
Oklahoma,9.6,8.7,10.6
Oregon,8.9,8.0,9.9
Pennsylvania,8.1,7.3,9.0
Rhode Island,6.7,5.9,7.6
South Carolina,8.7,8.0,9.4
South Dakota,7.5,6.6,8.4
Tennessee,10.6,9.6,11.7
Texas,8.4,7.5,9.4
Utah,6.8,6.3,7.4
Vermont,7.1,6.4,7.9
Virginia,8.5,7.7,9.3
Washington,7.0,6.5,7.5
West Virginia,12.4,11.5,13.4
Wisconsin,6.5,5.7,7.3
Wyoming,7.5,6.7,8.5
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
