Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,8.0,7.4,8.5
Alabama,12.1,11.0,13.4
Alaska,7.1,5.9,8.5
Arizona,7.8,7.0,8.6
Arkansas,11.1,9.8,12.6
California,6.8,6.1,7.6
Colorado,5.3,4.9,5.7
Connecticut,7.0,6.4,7.6
Delaware,8.0,7.0,9.1
District of Columbia,2.7,2.0,3.7
Florida,8.5,7.9,9.1
Georgia,10.6,9.4,11.9
Hawaii,4.6,3.8,5.7
Idaho,7.4,6.6,8.3
Illinois,7.8,6.9,8.8
Indiana,9.8,9.1,10.6
Iowa,7.8,7.2,8.5
Kansas,7.7,7.2,8.2
Kentucky,11.6,10.7,12.5
Louisiana,9.4,8.4,10.6
Maine,8.3,7.6,9.1
Maryland,8.1,7.4,8.8
Massachusetts,7.0,6.3,7.7
Michigan,9.1,8.5,9.8
Minnesota,7.0,6.6,7.4
Mississippi,10.0,8.9,11.2
Missouri,9.6,8.7,10.7
Montana,6.4,5.6,7.2
Nebraska,7.4,6.8,8.0
Nevada,8.9,7.7,10.3
New Hampshire,7.6,6.9,8.4
New Jersey,5.9,5.2,6.7
New Mexico,7.3,6.0,8.9
New York,7.1,6.6,7.6
North Carolina,8.6,7.7,9.5
North Dakota,7.6,6.9,8.4
Ohio,9.1,8.4,9.8
Oklahoma,9.8,8.9,10.8
Oregon,7.3,6.6,8.2
Pennsylvania,8.8,8.0,9.7
Rhode Island,8.3,7.4,9.4
South Carolina,9.6,8.8,10.5
South Dakota,6.4,5.6,7.4
Tennessee,10.9,9.9,11.9
Texas,8.3,7.2,9.5
Utah,7.3,6.8,7.9
Vermont,7.1,6.3,8.0
Virginia,9.0,8.2,9.8
Washington,8.2,7.6,8.8
West Virginia,12.7,11.8,13.5
Wisconsin,8.3,7.4,9.3
Wyoming,6.8,5.9,7.8
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,Suppressed,Suppressed,Suppressed
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
