Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2012
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,8.0,7.3,8.2
Alabama,9.5,8.7,10.4
Alaska,6.9,5.7,8.2
Arizona,7.9,6.9,9.2
Arkansas,8.9,8.0,10.0
California,6.8,6.2,7.5
Colorado,5.5,5.0,6.0
Connecticut,6.7,6.0,7.4
Delaware,7.8,6.7,9.1
District of Columbia,2.8,2.0,3.7
Florida,8.2,7.2,9.3
Georgia,8.6,7.6,9.7
Hawaii,3.9,2.5,5.9
Idaho,7.6,6.6,8.7
Illinois,8.0,7.1,9.1
Indiana,9.3,8.6,10.1
Iowa,8.2,7.6,8.9
Kansas,8.2,7.6,8.8
Kentucky,9.4,8.7,10.3
Louisiana,9.9,8.9,11.0
Maine,8.0,7.4,8.7
Maryland,7.7,7.0,8.4
Massachusetts,6.8,6.3,7.4
Michigan,8.2,7.6,8.9
Minnesota,6.2,5.7,6.8
Mississippi,9.5,8.6,10.4
Missouri,8.8,7.9,9.8
Montana,5.6,5.1,6.2
Nebraska,7.0,6.6,7.5
Nevada,6.6,5.5,7.9
New Hampshire,7.7,7.1,8.4
New Jersey,6.8,6.3,7.4
New Mexico,6.2,5.5,7.0
New York,6.5,5.7,7.4
North Carolina,8.3,7.6,9.0
North Dakota,7.1,6.4,7.9
Ohio,9.7,9.1,10.4
Oklahoma,9.9,9.1,10.8
Oregon,8.4,7.5,9.4
Pennsylvania,8.1,7.6,8.6
Rhode Island,8.4,7.5,9.4
South Carolina,9.1,8.3,9.9
South Dakota,6.1,5.4,7.0
Tennessee,10.6,9.7,11.5
Texas,8.0,7.1,9.0
Utah,7.3,6.8,7.9
Vermont,6.3,5.6,7.0
Virginia,8.6,7.7,9.5
Washington,7.3,6.8,7.8
West Virginia,11.0,10.2,11.9
Wisconsin,7.1,6.2,8.2
Wyoming,8.0,7.1,9.1
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
