Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2014
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,7.7,7.5,8.1
Alabama,10.8,9.8,11.8
Alaska,7.1,6.2,8.1
Arizona,7.9,7.1,8.6
Arkansas,10.1,9.1,11.3
California,6.8,6.0,7.6
Colorado,5.6,5.1,6.0
Connecticut,6.4,5.7,7.2
Delaware,8.2,7.2,9.3
District of Columbia,3.2,2.4,4.3
Florida,8.1,7.3,9.0
Georgia,9.1,8.2,10.1
Hawaii,3.6,2.9,4.4
Idaho,6.7,6.0,7.6
Illinois,7.5,6.7,8.4
Indiana,9.7,9.1,10.5
Iowa,8.0,7.3,8.6
Kansas,8.5,8.0,9.0
Kentucky,11.0,10.2,12.0
Louisiana,8.4,7.6,9.3
Maine,7.7,7.1,8.4
Maryland,8.0,7.2,8.9
Massachusetts,7.8,7.1,8.5
Michigan,8.2,7.6,8.9
Minnesota,6.8,6.4,7.2
Mississippi,10.2,8.8,11.7
Missouri,8.6,7.8,9.5
Montana,6.7,6.0,7.5
Nebraska,7.7,7.2,8.3
Nevada,8.0,6.8,9.5
New Hampshire,7.6,6.8,8.5
New Jersey,7.1,6.5,7.8
New Mexico,6.9,6.0,7.9
New York,7.1,6.3,8.1
North Carolina,8.2,7.4,9.0
North Dakota,7.6,6.8,8.4
Ohio,9.4,8.7,10.2
Oklahoma,10.1,9.4,10.9
Oregon,7.3,6.6,8.1
Pennsylvania,8.8,8.2,9.5
Rhode Island,7.7,7.0,8.6
South Carolina,9.2,8.4,10.0
South Dakota,7.2,6.4,8.2
Tennessee,10.9,9.8,12.0
Texas,8.1,7.3,8.9
Utah,6.8,6.4,7.3
Vermont,6.7,6.1,7.5
Virginia,7.5,6.9,8.2
Washington,7.7,7.0,8.3
West Virginia,11.8,10.9,12.7
Wisconsin,7.3,6.6,8.1
Wyoming,6.9,6.0,7.9
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
