Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2013
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,7.8,7.2,8.1
Alabama,10.8,9.8,12.0
Alaska,6.5,5.6,7.6
Arizona,7.8,6.6,9.2
Arkansas,10.0,8.8,11.3
California,6.0,5.3,6.7
Colorado,4.9,4.4,5.3
Connecticut,6.3,5.6,7.1
Delaware,8.8,7.7,9.9
District of Columbia,2.7,2.1,3.6
Florida,8.4,7.7,9.1
Georgia,8.6,7.8,9.5
Hawaii,3.5,2.7,4.5
Idaho,7.5,6.6,8.5
Illinois,7.8,7.0,8.8
Indiana,9.4,8.8,10.1
Iowa,8.1,7.4,8.8
Kansas,8.1,7.7,8.5
Kentucky,9.8,9.1,10.5
Louisiana,9.6,8.4,10.9
Maine,8.0,7.3,8.7
Maryland,7.1,6.5,7.7
Massachusetts,6.7,6.1,7.4
Michigan,8.5,7.9,9.2
Minnesota,6.2,5.5,6.9
Mississippi,10.4,9.4,11.6
Missouri,8.2,7.3,9.3
Montana,6.0,5.4,6.6
Nebraska,7.9,7.3,8.6
Nevada,6.7,5.5,8.1
New Hampshire,7.9,7.1,8.7
New Jersey,6.9,6.3,7.5
New Mexico,6.4,5.3,7.6
New York,6.4,5.8,7.1
North Carolina,9.3,8.5,10.3
North Dakota,7.4,6.8,8.1
Ohio,8.7,8.0,9.4
Oklahoma,9.1,8.3,10.0
Oregon,8.1,7.3,9.0
Pennsylvania,7.9,7.3,8.5
Rhode Island,7.2,6.4,8.1
South Carolina,9.1,8.4,9.9
South Dakota,7.3,6.4,8.3
Tennessee,10.5,9.4,11.7
Texas,8.6,7.6,9.8
Utah,7.1,6.6,7.7
Vermont,6.5,5.8,7.2
Virginia,7.5,6.9,8.2
Washington,7.3,6.7,7.9
West Virginia,10.9,10.1,11.8
Wisconsin,6.5,5.8,7.3
Wyoming,7.2,6.4,8.0
Guam,2.4,1.0,5.5
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
